Film_title,Director,Average_rating,Genres,Total_ratings,Film_URL,,,,
Pinocchio,"Hamilton Luske, Ben Sharpsteen",3.48,"['Animation', 'Fantasy', 'Family']",300150,https://letterboxd.com/film/pinocchio/,,,,
Avengers: Age of Ultron,Joss Whedon,3.15,"['Action', 'Adventure', 'Science Fiction']",1391093,https://letterboxd.com/film/avengers-age-of-ultron/,,,,
Baby Driver,Edgar Wright,3.71,"['Crime', 'Action']",2234654,https://letterboxd.com/film/baby-driver/,,,,
The Fly,David Cronenberg,3.99,"['Science Fiction', 'Horror']",399341,https://letterboxd.com/film/the-fly-1986/,,,,
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,4,"['Drama', 'Comedy']",950993,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/,,,,
Casino Royale,Martin Campbell,4.02,"['Thriller', 'Action', 'Adventure']",669312,https://letterboxd.com/film/casino-royale-2006/,,,,
La La Land,Damien Chazelle,4.12,"['Drama', 'Comedy', 'Music', 'Romance']",3220252,https://letterboxd.com/film/la-la-land/,,,,
Masterminds,Jared Hess,2.62,"['Action', 'Crime', 'Comedy']",48120,https://letterboxd.com/film/film:151796/,,,,
Ferris Bueller's Day Off,John Hughes,3.94,['Comedy'],1048338,https://letterboxd.com/film/ferris-buellers-day-off/,,,,
The Edge of Seventeen,Kelly Fremon Craig,3.52,"['Drama', 'Comedy']",671894,https://letterboxd.com/film/the-edge-of-seventeen/,,,,
28 Days Later,Danny Boyle,3.77,"['Horror', 'Science Fiction', 'Thriller']",552519,https://letterboxd.com/film/28-days-later/,,,,
The Lobster,Yorgos Lanthimos,3.76,"['Drama', 'Comedy', 'Romance']",929660,https://letterboxd.com/film/the-lobster/,,,,
Suicide Squad,David Ayer,2.15,"['Adventure', 'Action', 'Fantasy']",1220832,https://letterboxd.com/film/suicide-squad-2016/,,,,
Greed,Erich von Stroheim,4.02,"['Crime', 'Drama']",10866,https://letterboxd.com/film/greed/,,,,
Videodrome,David Cronenberg,3.88,"['Mystery', 'Science Fiction', 'Horror']",280871,https://letterboxd.com/film/videodrome/,,,,
The Bling Ring,Sofia Coppola,2.94,"['Drama', 'Crime']",276218,https://letterboxd.com/film/the-bling-ring/,,,,
Ex Machina,Alex Garland,3.98,"['Science Fiction', 'Drama']",1063801,https://letterboxd.com/film/ex-machina-2015/,,,,
The Empire Strikes Back,Irvin Kershner,4.4,"['Action', 'Science Fiction', 'Adventure']",1540004,https://letterboxd.com/film/the-empire-strikes-back/,,,,
Green Room,Jeremy Saulnier,3.65,"['Thriller', 'Horror', 'Crime']",309495,https://letterboxd.com/film/green-room/,,,,
Bram Stoker's Dracula,Francis Ford Coppola,3.71,"['Horror', 'Romance']",375248,https://letterboxd.com/film/bram-stokers-dracula/,,,,
The Love Witch,Anna Biller,3.5,"['Romance', 'Horror', 'Comedy']",201792,https://letterboxd.com/film/the-love-witch/,,,,
Mean Streets,Martin Scorsese,3.72,"['Drama', 'Crime']",178006,https://letterboxd.com/film/mean-streets/,,,,
Don't Breathe,Fede Álvarez,3.32,"['Thriller', 'Horror']",421889,https://letterboxd.com/film/dont-breathe-2016/,,,,
Clash of the Titans,Desmond Davis,3.36,"['Action', 'Fantasy', 'Adventure']",31089,https://letterboxd.com/film/clash-of-the-titans/,,,,
Ghost in the Shell,Rupert Sanders,2.6,"['Drama', 'Action', 'Science Fiction']",175801,https://letterboxd.com/film/ghost-in-the-shell-2017/,,,,
Halloween,John Carpenter,3.78,"['Horror', 'Thriller']",832835,https://letterboxd.com/film/halloween-1978/,,,,
La Haine,Mathieu Kassovitz,4.51,['Drama'],653968,https://letterboxd.com/film/la-haine/,,,,
Peter Pan,"Clyde Geronimi, Wilfred Jackson",3.51,"['Fantasy', 'Animation', 'Family', 'Adventure']",279050,https://letterboxd.com/film/peter-pan/,,,,
Rififi,Jules Dassin,4.26,"['Crime', 'Drama', 'Thriller']",37791,https://letterboxd.com/film/rififi/,,,,
Ingrid Goes West,Matt Spicer,3.33,"['Comedy', 'Drama']",156217,https://letterboxd.com/film/ingrid-goes-west/,,,,
The Dark Crystal,"Jim Henson, Frank Oz",3.69,"['Fantasy', 'Adventure', 'Family']",91700,https://letterboxd.com/film/the-dark-crystal/,,,,
Inherent Vice,Paul Thomas Anderson,3.62,"['Comedy', 'Drama', 'Mystery']",196218,https://letterboxd.com/film/inherent-vice/,,,,
Solaris,Andrei Tarkovsky,4.23,"['Mystery', 'Science Fiction', 'Drama']",161526,https://letterboxd.com/film/solaris/,,,,
Come and See,Elem Klimov,4.63,"['War', 'Drama']",324473,https://letterboxd.com/film/come-and-see/,,,,
The Evil Dead,Sam Raimi,3.66,['Horror'],450505,https://letterboxd.com/film/the-evil-dead/,,,,
Star Trek Beyond,Justin Lin,3.27,"['Action', 'Science Fiction', 'Adventure']",194953,https://letterboxd.com/film/star-trek-beyond/,,,,
Lost River,Ryan Gosling,3.1,"['Thriller', 'Fantasy', 'Drama']",25659,https://letterboxd.com/film/lost-river/,,,,
The Neon Demon,Nicolas Winding Refn,3.15,"['Thriller', 'Horror']",259924,https://letterboxd.com/film/the-neon-demon/,,,,
Kong: Skull Island,Jordan Vogt-Roberts,3.09,"['Action', 'Adventure', 'Fantasy']",476980,https://letterboxd.com/film/kong-skull-island/,,,,
Apocalypse Now,Francis Ford Coppola,4.44,"['Drama', 'War']",723032,https://letterboxd.com/film/apocalypse-now/,,,,
The Little Mermaid,"Ron Clements, John Musker",3.69,"['Family', 'Animation', 'Fantasy']",565863,https://letterboxd.com/film/the-little-mermaid/,,,,
Creed,Ryan Coogler,3.8,"['Action', 'Drama']",514927,https://letterboxd.com/film/creed/,,,,
Point Blank,John Boorman,3.91,"['Crime', 'Drama', 'Thriller']",32256,https://letterboxd.com/film/point-blank/,,,,
Boogie Nights,Paul Thomas Anderson,4.21,['Drama'],448490,https://letterboxd.com/film/boogie-nights/,,,,
Hard Target,John Woo,3.31,"['Crime', 'Thriller', 'Action', 'Adventure']",38543,https://letterboxd.com/film/hard-target/,,,,
Wet Hot American Summer,David Wain,3.54,['Comedy'],89015,https://letterboxd.com/film/wet-hot-american-summer/,,,,
The Lego Movie,"Phil Lord, Christopher Miller",3.81,"['Family', 'Animation', 'Adventure', 'Fantasy', 'Comedy']",945172,https://letterboxd.com/film/the-lego-movie/,,,,
Jaws,Steven Spielberg,3.94,"['Adventure', 'Thriller', 'Horror']",1139124,https://letterboxd.com/film/jaws/,,,,
Attack the Block,Joe Cornish,3.58,"['Science Fiction', 'Action', 'Comedy']",125698,https://letterboxd.com/film/attack-the-block/,,,,
Ghostbusters II,Ivan Reitman,3.17,"['Fantasy', 'Comedy']",196934,https://letterboxd.com/film/ghostbusters-ii/,,,,
Captain America: Civil War,"Joe Russo, Anthony Russo",3.6,"['Action', 'Science Fiction', 'Adventure']",1557984,https://letterboxd.com/film/captain-america-civil-war/,,,,
Terminator 2: Judgment Day,James Cameron,4.29,"['Thriller', 'Action', 'Science Fiction']",705861,https://letterboxd.com/film/terminator-2-judgment-day/,,,,
The Haunting,Robert Wise,3.78,['Horror'],52653,https://letterboxd.com/film/the-haunting/,,,,
Escape from Tomorrow,Randy Moore,2.32,"['Fantasy', 'Horror']",14243,https://letterboxd.com/film/escape-from-tomorrow/,,,,
The Dark Knight,Christopher Nolan,4.48,"['Action', 'Drama', 'Thriller', 'Crime']",2992201,https://letterboxd.com/film/the-dark-knight/,,,,
House,Nobuhiko Obayashi,4,"['Comedy', 'Fantasy', 'Horror']",264424,https://letterboxd.com/film/house/,,,,
Everything Is Illuminated,Liev Schreiber,3.67,"['Drama', 'Comedy']",22581,https://letterboxd.com/film/everything-is-illuminated/,,,,
Fear and Loathing in Las Vegas,Terry Gilliam,3.78,"['Drama', 'Comedy', 'Adventure']",308479,https://letterboxd.com/film/fear-and-loathing-in-las-vegas/,,,,
Deliverance,John Boorman,3.87,"['Thriller', 'Drama', 'Adventure']",99465,https://letterboxd.com/film/deliverance/,,,,
Kill Bill: Vol. 1,Quentin Tarantino,4.2,"['Crime', 'Action']",2026399,https://letterboxd.com/film/kill-bill-vol-1/,,,,
Rear Window,Alfred Hitchcock,4.37,"['Mystery', 'Thriller']",614385,https://letterboxd.com/film/rear-window/,,,,
Shame,Steve McQueen,3.79,['Drama'],192144,https://letterboxd.com/film/shame-2011/,,,,
Big,Penny Marshall,3.6,"['Drama', 'Comedy', 'Fantasy', 'Romance', 'Family']",253063,https://letterboxd.com/film/big/,,,,
Gone with the Wind,Victor Fleming,3.85,"['Romance', 'Drama', 'War']",191861,https://letterboxd.com/film/gone-with-the-wind/,,,,
Warm Bodies,Jonathan Levine,2.92,"['Horror', 'Romance', 'Comedy']",250430,https://letterboxd.com/film/warm-bodies/,,,,
Peppermint Soda,Diane Kurys,3.86,"['Drama', 'Comedy']",8533,https://letterboxd.com/film/peppermint-soda/,,,,
